LLT	PT
Application site reaction	Application site reaction
Application site reaction NOS	Application site reaction
Application site recall reaction	Application site recall reaction
Application site redness	Application site erythema
Application site scab	Application site scab
Application site scabbing	Application site scab
Application site scar	Application site scar
Application site skin breakdown	Application site erosion
Application site skin flaking	Application site exfoliation
Application site skin tear	Application site laceration
Application site stinging	Application site pain
Application site streaking	Application site streaking
Application site swelling	Application site swelling
Application site telangiectasia	Application site telangiectasia
Application site tenderness	Application site pain
Application site thermal burn	Application site burn
Application site thrombosis	Application site thrombosis
Application site ulcer	Application site ulcer
Application site urticaria	Application site urticaria
Application site vasculitis	Application site vasculitis
Application site vesicles	Application site vesicles
Application site warmth	Application site warmth
Application site wound	Application site wound
Apprehension	Anxiety
Apragmatism	Apathy
Apraxia	Apraxia
Apraxia of eyelid	Apraxia
Apronectomy	Abdominoplasty
Aprosody	Aprosody
Aptyalia	Aptyalism
Aptyalism	Aptyalism
Aquagenic acrokeratoderma	Aquagenic wrinkling of palms
Aquagenic pruritus	Aquagenic pruritus
Aquagenic wrinkling of palms	Aquagenic wrinkling of palms
Aqueductal stenosis	Aqueductal stenosis
Aqueous aspiration	Paracentesis eye
Aqueous aspiration abnormal	Paracentesis eye abnormal
Aqueous aspiration normal	Paracentesis eye normal
Aqueous fibrin	Aqueous fibrin
Aqueous humor leakage	Aqueous humour leakage
Aqueous humour leakage	Aqueous humour leakage
Arachnitis	Arachnoiditis
Arachnodactyly	Arachnodactyly
Arachnoid cyst	Arachnoid cyst
Arachnoid web	Arachnoid web
Arachnoiditis	Arachnoiditis
Arachnoiditis adhesive chronic	Arachnoiditis
Arachnophobia	Animal phobia
Arboviral infection	Arboviral infection
Arbovirus test positive	Arbovirus test positive
Arch aortogram	Aortogram
Arch aortogram abnormal	Aortogram abnormal
Arch aortogram normal	Aortogram normal
Arch aortograph	Aortogram
Arcuate foramen	Arcuate foramen
Arcuate scotoma	Visual field defect
Arcus juvenilis	Arcus lipoides
Arcus lipoides	Arcus lipoides
Arcus senilis	Arcus lipoides
Areflexia	Areflexia
Aregenerative anaemia	Aplastic anaemia
Aregenerative anemia	Aplastic anaemia
Arenaviral haemorrhagic fever	Arenaviral haemorrhagic fever
Arenaviral hemorrhagic fever	Arenaviral haemorrhagic fever
Arenavirus test positive	Arenavirus test positive
Argentaffinoma	Carcinoid tumour
Argentine haemorrhagic fever	Argentine haemorrhagic fever
Argentine hemorrhagic fever	Argentine haemorrhagic fever
Argentous corneal deposits	Corneal deposits
Arginase 1 deficiency	Arginase deficiency
Arginase decreased	Arginase decreased
Arginase deficiency	Arginase deficiency
Arginase increased	Arginase increased
Argininosuccinate lyase decreased	Argininosuccinate lyase decreased
Argininosuccinate lyase deficiency	Argininosuccinate lyase deficiency
Argininosuccinate lyase increased	Argininosuccinate lyase increased
Argininosuccinate synthetase deficiency	Argininosuccinate synthetase deficiency
Argininosuccinic aciduria	Argininosuccinate lyase deficiency
Argon plasma coagulation	Argon plasma coagulation
Argumentativeness	Aggression
Argyll Robertson pupil, atypical	Argyll-Robertson pupils
Argyll-Robertson pupils	Argyll-Robertson pupils
Argyria	Argyria
Ariboflavinosis	Vitamin B2 deficiency
Arkless-Graham syndrome	Acrodysostosis
Arm amputation	Arm amputation
Arm crushing	Limb crushing injury
Arm deformity	Limb deformity
Arm deformity NOS	Limb deformity
Arm discomfort	Limb discomfort
Arm fracture	Upper limb fracture
Arm infection	Localised infection
Arm injury	Limb injury
Arm operation	Limb operation
Arm paralysis	Monoplegia
Arm prosthesis user	Limb prosthesis user
Arm spasticity	Muscle spasticity
Arm traumatic amputation	Limb traumatic amputation
Armpit pain	Axillary pain
Arnold neuralgia	Occipital neuralgia
Arnold-Chiari malformation	Arnold-Chiari malformation
Arnold-Chiari malformation type I	Arnold-Chiari malformation
Arnold-Chiari malformation type II	Arnold-Chiari malformation
Arnold-Chiari malformation type III	Arnold-Chiari malformation
Aromatase inhibition therapy	Aromatase inhibition therapy
Aromatherapy	Aromatherapy
Aromatic L-amino acid decarboxylase deficiency	Aromatic L-amino acid decarboxylase deficiency
Arousal difficult	Depressed level of consciousness
Arousal night	Middle insomnia
Arrest atrial	Sinus arrest
Arrest cardiac	Cardiac arrest
Arrest erythroid maturation	Erythroid maturation arrest
Arrest myeloid maturation	Myeloid maturation arrest
Arrest of urinary output	Anuria
Arrest pulmonary	Respiratory arrest
Arrest respiratory	Respiratory arrest
Arrest sinus	Sinus arrest
Arrested labor	Arrested labour
Arrested labour	Arrested labour
Arrhythmia	Arrhythmia
Arrhythmia (NOS)	Arrhythmia
Arrhythmia NOS	Arrhythmia
Arrhythmia NOS foetal	Foetal arrhythmia
Arrhythmia NOS neonatal	Arrhythmia neonatal
Arrhythmia absoluta	Atrial fibrillation
Arrhythmia atrial	Arrhythmia supraventricular
Arrhythmia atrial (NOS)	Arrhythmia supraventricular
Arrhythmia cardiac (NOS)	Arrhythmia
Arrhythmia exertional	Arrhythmia
Arrhythmia fetal	Foetal arrhythmia
Arrhythmia neonatal	Arrhythmia neonatal
Arrhythmia nodal	Nodal arrhythmia
Arrhythmia nodal (NOS)	Nodal arrhythmia
Arrhythmia prophylaxis	Arrhythmia prophylaxis
Arrhythmia sinus	Sinus arrhythmia
Arrhythmia supraventricular	Arrhythmia supraventricular
Arrhythmia ventricular	Ventricular arrhythmia
Arrhythmia ventricular (NOS)	Ventricular arrhythmia
Arrhythmic storm	Ventricular arrhythmia
Arrhythmic syncope	Syncope
Arrhythmogenic right ventricular dysplasia	Arrhythmogenic right ventricular dysplasia
Arsenic abnormal	Blood arsenic increased
Arsenic in serum	Blood arsenic increased
Arsenic increased	Blood arsenic increased
Arsenic normal	Blood arsenic normal
Arsenic not present	Blood arsenic normal
Arsenical keratosis	Arsenical keratosis
Art therapy	Psychotherapy
Arterectomy	Arterectomy
Arterectomy with graft replacement	Arterectomy with graft replacement
Arterial aneurysm	Aneurysm
Arterial aneurysm NOS	Aneurysm
Arterial aneurysm repair	Arterial aneurysm repair
Arterial angioplasty	Arterial angioplasty
Arterial anomaly	Congenital arterial malformation
Arterial bleeding	Arterial haemorrhage
Arterial blood gases	Blood gases
Arterial blood pH	Blood pH
Arterial blood pH decreased	Blood pH decreased
Arterial blood pH increased	Blood pH increased
Arterial blood pH normal	Blood pH normal
Arterial blood pressure decreased	Blood pressure decreased
Arterial bruit	Arterial bruit
Arterial bypass occlusion	Vascular graft occlusion
Arterial bypass operation	Arterial bypass operation
Arterial bypass stenosis	Vascular graft stenosis
Arterial bypass thrombosis	Vascular graft thrombosis
Arterial calcification	Arteriosclerosis
Arterial catheter site haemorrhage	Catheter site haemorrhage
Arterial catheter site hemorrhage	Catheter site haemorrhage
Arterial catheterisation	Arterial catheterisation
Arterial catheterisation NOS normal	Arterial catheterisation normal
Arterial catheterisation abnormal	Arterial catheterisation abnormal
Arterial catheterisation normal	Arterial catheterisation normal
Arterial catheterization	Arterial catheterisation
Arterial catheterization abnormal	Arterial catheterisation abnormal
Arterial catheterization normal	Arterial catheterisation normal
Arterial compression therapy	Arterial compression therapy
Arterial cyst	Adventitial cystic disease
Arterial disorder	Arterial disorder
Arterial disorder NOS	Arterial disorder
Arterial dolichoectasia	Arterial dolichoectasia
Arterial embolectomy	Thromboembolectomy
Arterial embolism (limbs)	Peripheral embolism
Arterial embolism NOS	Embolism arterial
Arterial embolism limb	Peripheral embolism
Arterial fibrosis	Arterial fibrosis
Arterial graft	Arterial graft
Arterial graft NOS	Arterial graft
Arterial haemorrhage	Arterial haemorrhage
Arterial haemorrhage NOS	Arterial haemorrhage
Arterial hemorrhage	Arterial haemorrhage
Arterial hypertension	Hypertension
Arterial hypotension	Hypotension
Arterial infusion chemotherapy	Regional chemotherapy
Arterial injury	Arterial injury
Arterial insufficiency	Arterial insufficiency
Arterial insufficiency coronary	Coronary artery insufficiency
Arterial insufficiency peripheral	Peripheral arterial occlusive disease
Arterial intramural haematoma	Arterial intramural haematoma
Arterial intramural hematoma	Arterial intramural haematoma
Arterial ischaemia	Ischaemia
Arterial ischemia	Ischaemia
Arterial laceration	Arterial injury
Arterial ligation	Arterial ligation
Arterial massage	Arterial therapeutic procedure
Arterial murmur	Arterial bruit
Arterial obstruction NOS	Arterial occlusive disease
Arterial occlusion	Arterial occlusive disease
Arterial occlusion NOS	Arterial occlusive disease
Arterial occlusive disease	Arterial occlusive disease
Arterial operation NOS	Arterial therapeutic procedure
Arterial oxygen partial pressure abnormal	PO2 abnormal
Arterial oxygen partial pressure decreased	PO2 decreased
Arterial oxygen partial pressure increased	PO2 increased
Arterial oxygen saturation	Oxygen saturation
Arterial oxygen saturation abnormal	Oxygen saturation abnormal
Arterial oxygen saturation decreased	Oxygen saturation decreased
Arterial oxygen saturation increased	Oxygen saturation increased
Arterial perforation	Arterial perforation
Arterial pressure NOS decreased	Blood pressure decreased
Arterial pressure NOS increased	Blood pressure increased
Arterial pressure high	Blood pressure increased
Arterial puncture	Arterial puncture
Arterial reconstruction	Arterial repair
Arterial repair	Arterial repair
Arterial repair NOS	Arterial repair
Arterial restenosis	Arterial restenosis
Arterial revascularisation	Arterial revascularisation
Arterial revascularization	Arterial revascularisation
Arterial rupture	Arterial rupture
Arterial rupture NOS	Arterial rupture
Arterial segmental pressure test	Arterial segmental pressure test
Arterial spasm	Arterial spasm
Arterial spasm NOS	Arterial spasm
Arterial stenosis	Arterial stenosis
Arterial stenosis NOS	Arterial stenosis
Arterial stenosis leg	Peripheral artery stenosis
Arterial stenosis limb	Peripheral artery stenosis
Arterial stenosis of transplanted kidney	Complications of transplanted kidney
Arterial stent insertion	Arterial stent insertion
Arterial stent insertion NOS	Arterial stent insertion
Arterial stent occlusion	Vascular stent occlusion
Arterial stent removal	Arterial stent removal
Arterial stiffness	Arterial stiffness
Arterial switch operation	Arterial switch operation
Arterial therapeutic procedure	Arterial therapeutic procedure
Arterial thromboembolism	Embolism arterial
Arterial thromboembolism prophylaxis	Thrombosis prophylaxis
Arterial thrombosis	Arterial thrombosis
Arterial thrombosis (limbs)	Peripheral artery thrombosis
Arterial thrombosis NOS	Arterial thrombosis
Arterial thrombosis limb	Peripheral artery thrombosis
Arterial thrombosis of the arm	Peripheral artery thrombosis
Arterial thrombosis of the leg	Peripheral artery thrombosis
Arterial tortuosity syndrome	Arterial tortuosity syndrome
Arterial wall hypertrophy	Arterial wall hypertrophy
Arterialisation	Venous arterialisation
Arterialization	Venous arterialisation
Arterioenteric fistula	Arterioenteric fistula
Arteriogram	Arteriogram
Arteriogram NOS	Arteriogram
Arteriogram NOS abnormal	Arteriogram abnormal
Arteriogram abnormal	Arteriogram abnormal
Arteriogram carotid	Arteriogram carotid
Arteriogram carotid abnormal	Arteriogram carotid abnormal
Arteriogram carotid normal	Arteriogram carotid normal
Arteriogram cerebral	Angiogram cerebral
Arteriogram cerebral abnormal	Angiogram cerebral abnormal
Arteriogram cerebral normal	Angiogram cerebral normal
Arteriogram coronary	Angiocardiogram
Arteriogram coronary abnormal	Arteriogram coronary abnormal
Arteriogram coronary normal	Arteriogram coronary normal
Arteriogram liver	Arteriogram liver
Arteriogram normal	Arteriogram normal
Arteriogram renal	Arteriogram renal
Arteriogram renal abnormal	Arteriogram renal abnormal
Arteriogram renal normal	Arteriogram renal normal
Arteriograph cerebral	Angiogram cerebral
Arteriograph renal	Arteriogram renal
Arteriopathic disease	Arterial disorder
Arteriopathy	Arterial disorder
Arteriosclerosis	Arteriosclerosis
Arteriosclerosis Moenckeberg-type	Arteriosclerosis Moenckeberg-type
Arteriosclerosis Monckeberg-type	Arteriosclerosis Moenckeberg-type
Arteriosclerosis coronary artery	Arteriosclerosis coronary artery
Arteriosclerosis obliterans	Peripheral arterial occlusive disease
Arteriosclerosis renal	Renal arteriosclerosis
Arteriosclerosis retinal	Arteriosclerotic retinopathy
Arteriosclerotic cardiovascular disease	Arteriosclerosis
Arteriosclerotic dementia	Vascular dementia
Arteriosclerotic dementia with delusional features	Vascular dementia
Arteriosclerotic dementia with depressive features	Vascular dementia
Arteriosclerotic dementia, uncomplicated	Vascular dementia
Arteriosclerotic gangrene	Arteriosclerotic gangrene
Arteriosclerotic heart disease	Arteriosclerosis coronary artery
Arteriosclerotic retinopathy	Arteriosclerotic retinopathy
Arteriospasm	Arterial spasm
Arteriospasm coronary	Arteriospasm coronary
Arteriotomy	Arteriotomy
Arteriovenous anomaly	Arteriovenous malformation
Arteriovenous biliary fistula	Biliary-vascular fistula
Arteriovenous fistula	Arteriovenous fistula
Arteriovenous fistula aneurysm	Arteriovenous fistula aneurysm
Arteriovenous fistula creation	Arteriovenous fistula operation
Arteriovenous fistula excision	Arteriovenous fistula operation
Arteriovenous fistula infection	Arteriovenous fistula site infection
Arteriovenous fistula ligation	Arteriovenous fistula operation
Arteriovenous fistula maturation failure	Arteriovenous fistula maturation failure
Arteriovenous fistula occlusion	Arteriovenous fistula occlusion
Arteriovenous fistula of pulmonary vessels	Pulmonary arteriovenous fistula
Arteriovenous fistula operation	Arteriovenous fistula operation
Arteriovenous fistula revision	Arteriovenous fistula operation
Arteriovenous fistula site abscess	Arteriovenous fistula site infection
Arteriovenous fistula site bleeding	Arteriovenous fistula site haemorrhage
Arteriovenous fistula site cellulitis	Arteriovenous fistula site infection
Arteriovenous fistula site complication	Arteriovenous fistula site complication
Arteriovenous fistula site ecchymosis	Arteriovenous fistula site haemorrhage
Arteriovenous fistula site edema	Arteriovenous fistula site complication
Arteriovenous fistula site erosion	Arteriovenous fistula site complication
Arteriovenous fistula site erythema	Arteriovenous fistula site complication
Arteriovenous fistula site extravasation	Arteriovenous fistula site complication
Arteriovenous fistula site haematoma	Arteriovenous fistula site haematoma
Arteriovenous fistula site haemorrhage	Arteriovenous fistula site haemorrhage
Arteriovenous fistula site hematoma	Arteriovenous fistula site haematoma
Arteriovenous fistula site hemorrhage	Arteriovenous fistula site haemorrhage
Arteriovenous fistula site hypoaesthesia	Arteriovenous fistula site complication
Arteriovenous fistula site hypoesthesia	Arteriovenous fistula site complication
Arteriovenous fistula site infection	Arteriovenous fistula site infection
Arteriovenous fistula site inflammation	Arteriovenous fistula site complication
Arteriovenous fistula site oedema	Arteriovenous fistula site complication
Arteriovenous fistula site pain	Arteriovenous fistula site complication
Arteriovenous fistula site pruritus	Arteriovenous fistula site complication
Arteriovenous fistula site pseudoaneurysm	Arteriovenous fistula site pseudoaneurysm
Arteriovenous fistula site rash	Arteriovenous fistula site complication
Arteriovenous fistula site rupture	Arteriovenous fistula site haemorrhage
Arteriovenous fistula site stenosis	Arteriovenous fistula site complication
Arteriovenous fistula site urticaria	Arteriovenous fistula site complication
Arteriovenous fistula thrombosis	Arteriovenous fistula thrombosis
Arteriovenous fistula, acquired	Arteriovenous fistula
Arteriovenous graft	Arteriovenous graft
Arteriovenous graft aneurysm	Arteriovenous graft aneurysm
Arteriovenous graft leakage	Vascular graft complication
Arteriovenous graft occlusion	Vascular graft occlusion
Arteriovenous graft rupture	Arteriovenous graft site haemorrhage
Arteriovenous graft site abscess	Arteriovenous graft site abscess
Arteriovenous graft site bleeding	Arteriovenous graft site haemorrhage
Arteriovenous graft site cellulitis	Arteriovenous graft site infection
Arteriovenous graft site complication	Vascular graft complication
Arteriovenous graft site ecchymosis	Arteriovenous graft site haemorrhage
Arteriovenous graft site edema	Vascular graft complication
Arteriovenous graft site erythema	Vascular graft complication
Arteriovenous graft site haematoma	Arteriovenous graft site haematoma
Arteriovenous graft site haemorrhage	Arteriovenous graft site haemorrhage
Arteriovenous graft site hematoma	Arteriovenous graft site haematoma
Arteriovenous graft site hemorrhage	Arteriovenous graft site haemorrhage
Arteriovenous graft site infection	Arteriovenous graft site infection
Arteriovenous graft site inflammation	Vascular graft complication
Arteriovenous graft site necrosis	Arteriovenous graft site necrosis
Arteriovenous graft site oedema	Vascular graft complication
Arteriovenous graft site pain	Vascular graft complication
Arteriovenous graft site pruritus	Vascular graft complication
Arteriovenous graft site pseudoaneurysm	Arteriovenous graft site pseudoaneurysm
Arteriovenous graft site rash	Vascular graft complication
Arteriovenous graft site stenosis	Arteriovenous graft site stenosis
Arteriovenous graft site urticaria	Vascular graft complication
Arteriovenous graft thrombosis	Arteriovenous graft thrombosis
Arteriovenous malformation	Arteriovenous malformation
Arteriovenous malformations	Arteriovenous malformation
Arteriovenous shunt operation	Arteriovenous fistula operation
Arteriovenous shunt placement	Arteriovenous fistula operation
Arteriovenous shunt thrombosis	Shunt thrombosis
Arteritic anterior ischaemic optic neuropathy	Optic ischaemic neuropathy
Arteritic anterior ischemic optic neuropathy	Optic ischaemic neuropathy
Arteritic ischaemic optic neuropathy	Optic ischaemic neuropathy
Arteritic ischemic optic neuropathy	Optic ischaemic neuropathy
Arteritis	Arteritis
Arteritis NOS	Arteritis
Arteritis coronary	Arteritis coronary
Arteritis infective	Arteritis infective
Arteritis obliterans	Thromboangiitis obliterans
Arteritis thrombotic	Arteritis
Arteritis, unspecified	Arteritis
Artery NOS dissection	Artery dissection
Artery dissection	Artery dissection
Artery malformation	Congenital arterial malformation
Artery rupture	Arterial rupture
Arthralgia	Arthralgia
Arthralgia aggravated	Arthralgia
Arthralgia lumbar	Arthralgia
Arthralgia multiple	Arthralgia
Arthralgia of temporomandibular joint	Temporomandibular joint syndrome
Arthrectomy	Arthrectomy
Arthritic pains	Arthralgia
Arthritic-like pain	Arthralgia
Arthritis	Arthritis
Arthritis Charcot-type	Neuropathic arthropathy
Arthritis NOS	Arthritis
Arthritis NOS aggravated	Arthritis
Arthritis aggravated	Arthritis
Arthritis allergic	Arthritis allergic
Arthritis allergic NOS	Arthritis allergic
Arthritis bacterial	Arthritis bacterial
Arthritis bacterial NOS	Arthritis bacterial
Arthritis climacteric	Arthritis climacteric
Arthritis due to rubella	Arthritis rubella
Arthritis enteropathic	Arthritis enteropathic
Arthritis flare up	Arthritis
Arthritis following viral infection	Arthritis viral
Arthritis fungal	Arthritis fungal
Arthritis fungal NOS	Arthritis fungal
Arthritis gonococcal	Arthritis gonococcal
Arthritis gouty	Gouty arthritis
Arthritis helminthic	Arthritis helminthic
Arthritis helminthic NOS	Arthritis helminthic
Arthritis infective	Arthritis infective
Arthritis infective NOS	Arthritis infective
Arthritis lupus erythematosis	SLE arthritis
Arthritis multiple joint	Polyarthritis
Arthritis mutilans	Polyarthritis
Arthritis of neck	Spondylitis
Arthritis pyogenic	Arthritis bacterial
Arthritis reactive	Arthritis reactive
Arthritis rheumatoid	Rheumatoid arthritis
Arthritis rheumatoid aggravated	Rheumatoid arthritis
Arthritis rubella	Arthritis rubella
Arthritis salmonella	Arthritis salmonella
Arthritis septic	Arthritis bacterial
Arthritis single joint	Arthritis
Arthritis viral	Arthritis viral
Arthritis viral NOS	Arthritis viral
Arthrocentesis	Aspiration joint
Arthrodesis	Arthrodesis
Arthrodesis NOS	Arthrodesis
Arthrofibrosis	Arthrofibrosis
Arthrogram	Arthrogram
Arthrogram abnormal	Arthrogram abnormal
Arthrogram hip	Arthrogram
Arthrogram normal	Arthrogram normal
Arthrogram of knee	Arthrogram
Arthrograph	Arthrogram
Arthrography	Arthrogram
Arthrolith	Joint deposit
Arthrolysis	Arthrolysis
Arthromyalgia	Musculoskeletal pain
Arthropathy	Arthropathy
Arthropathy (NOS)	Arthropathy
Arthropathy NOS	Arthropathy
Arthropathy aggravated	Arthropathy
Arthropathy associated with helminthiasis	Arthritis helminthic
Arthropathy crystal NOS	Crystal arthropathy
Arthropathy in Behcet's syndrome	Behcet's syndrome
Arthropathy in Behcet's syndrome involving forearm	Behcet's syndrome
Arthropathy in Behcet's syndrome involving hand	Behcet's syndrome
Arthropathy in Behcet's syndrome involving lower leg	Behcet's syndrome
Arthropathy in Behcet's syndrome involving shoulder region	Behcet's syndrome
Arthropathy in Behcet's syndrome involving upper arm	Behcet's syndrome
Arthropathy in Behcet's syndrome, site unspecified	Behcet's syndrome
Arthropathy involving forearm associated with helminthiasis	Arthritis helminthic
Arthropathy involving hand associated with helminthiasis	Arthritis helminthic
Arthropathy involving lower leg associated with helminthiasis	Arthritis helminthic
Arthropathy involving shoulder region associated with helminthiasis	Arthritis helminthic
Arthropathy involving upper arm associated with helminthiasis	Arthritis helminthic
Arthropathy neurogenic	Neuropathic arthropathy
Arthropathy psoriatic	Psoriatic arthropathy
Arthropathy unspecified, involving forearm	Arthropathy
Arthropathy unspecified, involving hand	Arthropathy
Arthropathy unspecified, involving lower leg	Arthropathy
Arthropathy unspecified, involving upper arm	Arthropathy
Arthropathy, site unspecified, associated with helminthiasis	Arthritis helminthic
Arthropathy, unspecified	Arthropathy
Arthropathy, unspecified, involving shoulder region	Arthropathy
Arthropathy, unspecified, site unspecified	Arthropathy
Arthroplasty (excl hip or knee)	Joint arthroplasty
Arthroplasty NOS	Joint arthroplasty
Arthroplasty of hip	Hip arthroplasty
Arthroplasty of knee	Knee arthroplasty
Arthropod bite	Arthropod bite
Arthropod infestation	Arthropod infestation
Arthropod infestation NOS	Arthropod infestation
Arthropod scratch	Arthropod scratch
Arthropod sting	Arthropod sting
Arthropod transmitted infection	Arthropod-borne disease
Arthropod-borne disease	Arthropod-borne disease
Arthropod-borne disease NOS	Arthropod-borne disease
Arthropod-borne disease, unspecified	Arthropod-borne disease
Arthropod-borne haemorrhagic fever	Haemorrhagic fever
Arthropod-borne haemorrhagic fever, unspecified	Haemorrhagic fever
Arthropod-borne hemorrhagic fever	Haemorrhagic fever
Arthropod-borne hemorrhagic fever, unspecified	Haemorrhagic fever
Arthropod-borne viral disease, unspecified	Viral infection
Arthropod-borne viral encephalitis	Encephalitis viral
Arthrosclerosis	Joint stiffness
Arthroscopic surgery	Arthroscopic surgery
Arthroscopy	Arthroscopy
Arthroscopy L knee	Arthroscopy
Arthroscopy R knee	Arthroscopy
Arthroscopy abnormal	Arthroscopy abnormal
Arthroscopy normal	Arthroscopy normal
Arthrosis	Osteoarthritis
Arthrosis NOS	Osteoarthritis
Arthrosis deformans	Osteoarthritis
Arthrosis multiple	Osteoarthritis
Arthrotomy	Arthrotomy
Arthrotoxicity	Arthrotoxicity
Arthus phenomenon	Type III immune complex mediated reaction
Arthus reaction	Type III immune complex mediated reaction
Arthus-type reaction	Type III immune complex mediated reaction
Articular calcification	Articular calcification
Articular cartilage defect	Chondropathy
Articular cartilage disorder	Chondropathy
Articular cartilage disorder involving forearm	Chondropathy
Articular cartilage disorder involving hand	Chondropathy
Articular cartilage disorder involving shoulder region	Chondropathy
Articular cartilage disorder involving upper arm	Chondropathy
Articular cartilage disorder, site unspecified	Chondropathy
Articular disc disorder	Articular disc disorder
Articular gout	Gout
Articulation problem	Dysarthria
Artifactual hypoglycaemia	False positive investigation result
Artifactual hypoglycemia	False positive investigation result
Artificial anus	Enterostomy
Artificial bladder implantation	Neobladder surgery
Artificial blood vessel occlusion	Artificial blood vessel occlusion
Artificial cardiac pacemaker user	Cardiac assistance device user
Artificial cardiac pacemaker wearer	Cardiac assistance device user
Artificial coma	Medical induction of coma
Artificial crown insertion	Artificial crown procedure
Artificial crown procedure	Artificial crown procedure
Artificial crown removal	Artificial crown procedure
Artificial dental crown damage	Device physical property issue
Artificial dental crown failure	Dental restoration failure
Artificial disc dislocation	Device dislocation
Artificial extracorporeal liver support	Liver dialysis
Artificial heart device user	Artificial heart device user
Artificial heart implant	Artificial heart implant
Artificial insemination	Artificial insemination
Artificial insemination (husband)	Artificial insemination
Artificial insemination by donor	Artificial insemination
Artificial insemination by partner	Artificial insemination
Artificial kidney clotting during dialysis	Thrombosis in device
Artificial kidney device user	Artificial kidney device user
Artificial menopause	Artificial menopause
Artificial rupture of membranes	Artificial rupture of membranes
Artificial skin graft	Artificial skin graft
Artificial sweetener intolerance	Reaction to food additive
Artificial tear duct insertion	Dacryocystorhinostomy
Artificial urinary sphincter implant	Artificial urinary sphincter implant
Artificial urinary sphincter removal	Artificial urinary sphincter removal
Aryepiglottis edema	Laryngeal oedema
Aryepiglottis oedema	Laryngeal oedema
Arytenoidopexy	Laryngeal repair
Asbestos exposure	Exposure to chemical pollution
Asbestosis	Asbestosis
Ascariasis	Ascariasis
Ascaris lumbricoides infection	Ascariasis
Ascending aorta perforation	Aortic perforation
Ascending aortic aneurysm enlargement	Aortic aneurysm
Ascending aortic aneurysm rupture	Aortic aneurysm rupture
Ascending aortic dilatation	Aortic dilatation
Ascending aortic dissection	Aortic dissection
Ascending aortic dissection rupture	Aortic dissection rupture
Ascending aortic rupture	Aortic rupture
Ascending cholangitis	Cholangitis
Ascending paraesthesia	Paraesthesia
Ascending paresthesia	Paraesthesia
Ascites	Ascites
Ascites amylase	Amylase
Ascites chylous	Ascites
Ascites drainage	Abdominal cavity drainage
Ascites grade 1	Ascites
Ascites grade 2	Ascites
Ascites grade 3	Ascites
Ascites infection	Peritonitis
Ascorbate	Vitamin C
Ascorbate high	Vitamin C increased
Ascorbate low	Vitamin C decreased
Ascorbate normal	Vitamin C normal
Ascorbic acid	Vitamin C
Ascorbic acid abnormal	Vitamin C abnormal
Ascorbic acid decreased	Vitamin C decreased
Ascorbic acid deficiency	Vitamin C deficiency
Ascorbic acid increased	Vitamin C increased
Ascorbic acid normal	Vitamin C normal
Aseptic cavernous sinus thrombosis	Aseptic cavernous sinus thrombosis
Aseptic endophthalmitis	Non-infectious endophthalmitis
Aseptic meningitis	Meningitis aseptic
Aseptic necrosis	Osteonecrosis
Aseptic necrosis bone	Osteonecrosis
Aseptic necrosis of bone	Osteonecrosis
Aseptic necrosis of bone, site unspecified	Osteonecrosis
Aseptic necrosis of head and neck of femur	Osteonecrosis
Aseptic necrosis of head of humerus	Osteonecrosis
Aseptic necrosis of jaw	Osteonecrosis of jaw
Aseptic necrosis of medial femoral condyle	Osteonecrosis
Aseptic necrosis of talus	Osteonecrosis
Aseptic peritonitis	Noninfectious peritonitis
Ash leaf macule	Ash leaf macule
Asherman's syndrome	Asherman's syndrome
Asialia	Aptyalism
Asian flu	H2N2 influenza
Asiderosis	Iron deficiency
Asiderotic anaemia	Iron deficiency anaemia
Asiderotic anemia	Iron deficiency anaemia
Askin's tumor	Peripheral primitive neuroectodermal tumour of soft tissue
Askin's tumour	Peripheral primitive neuroectodermal tumour of soft tissue
Asocial behavior	Asocial behaviour
Asocial behaviour	Asocial behaviour
Asocial personality	Psychopathic personality
Asocial reaction	Asocial behaviour
Asp transferase	Aspartate aminotransferase
Aspartate aminotransferase	Aspartate aminotransferase
Aspartate aminotransferase abnormal	Aspartate aminotransferase abnormal
Aspartate aminotransferase abnormal NOS	Aspartate aminotransferase abnormal
Aspartate aminotransferase decreased	Aspartate aminotransferase decreased
Aspartate aminotransferase increase	Aspartate aminotransferase increased
Aspartate aminotransferase increased	Aspartate aminotransferase increased
Aspartate aminotransferase normal	Aspartate aminotransferase normal
Aspartate transferase	Aspartate aminotransferase
Aspartate-glutamate-transporter deficiency	Aspartate-glutamate-transporter deficiency
Aspartylglucosaminuria	Aspartylglucosaminuria
Asperger's disorder	Autism spectrum disorder
Asperger's syndrome	Autism spectrum disorder
Aspergilloma	Aspergilloma
Aspergillosis	Aspergillus infection
Aspergillosis NOS	Aspergillus infection
Aspergillosis oral	Aspergillosis oral
Aspergillosis pharyngeal	Oro-pharyngeal aspergillosis
Aspergillosis recurrent	Aspergillus infection
Aspergillus DNA test positive	Aspergillus test positive
Aspergillus antibody positive	Aspergillus test positive
Aspergillus antigen	Aspergillus test
Aspergillus colonisation	Fungal disease carrier
Aspergillus colonization	Fungal disease carrier
Aspergillus flavus bronchopulmonary infection	Bronchopulmonary aspergillosis
Aspergillus flavus infection	Aspergillus infection
Aspergillus fumigatus bronchopulmonary infection	Bronchopulmonary aspergillosis
Aspergillus fumigatus infection	Aspergillus infection
Aspergillus infection	Aspergillus infection
Aspergillus infection NOS	Aspergillus infection
