LLT	PT
AFP amniotic fluid	Alpha 1 foetoprotein amniotic fluid
AFP amniotic fluid increased	Alpha 1 foetoprotein amniotic fluid increased
AFP decreased	Alpha 1 foetoprotein decreased
AFP increased	Alpha 1 foetoprotein increased
AFP normal	Alpha 1 foetoprotein normal
AFP result - high	Alpha 1 foetoprotein increased
AFP result - normal	Alpha 1 foetoprotein normal
AFib	Atrial fibrillation
AG ratio abnormal	Albumin globulin ratio abnormal
AGAT deficiency	Creatine deficiency syndrome
AGEP	Acute generalised exanthematous pustulosis
AGUS	Cervical dysplasia
AGVHD	Acute graft versus host disease
AIDS	Acquired immunodeficiency syndrome
AIDS cholangiopathy	AIDS cholangiopathy
AIDS dementia	HIV-associated neurocognitive disorder
AIDS dementia complex	HIV-associated neurocognitive disorder
AIDS dysmorphic syndrome	AIDS dysmorphic syndrome
AIDS encephalopathy	HIV-associated neurocognitive disorder
AIDS neuropathy	HIV peripheral neuropathy
AIDS phobia	Nosophobia
AIDS related anogenital dysplasia	Anogenital dysplasia
AIDS related complex	AIDS related complex
AIDS related complication	AIDS related complication
AIDS related complication NOS	AIDS related complication
AIDS related lymphoma	Lymphoma AIDS related
AIDS retinopathy	AIDS retinopathy
AIDS-associated haemorrhagic sarcoma	Kaposi's sarcoma AIDS related
AIDS-associated hemorrhagic sarcoma	Kaposi's sarcoma AIDS related
AIDS-dementia complex	HIV-associated neurocognitive disorder
AIDS-related anal cancer recurrent	Anal cancer recurrent
AIDS-related anal cancer stage 0	Anal cancer stage 0
AIDS-related anal cancer stage I	Anal cancer stage I
AIDS-related anal cancer stage II	Anal cancer stage II
AIDS-related anal cancer stage III	Anal cancer stage III
AIDS-related anal cancer stage IV	Anal cancer stage IV
AIDS-related anal cancer stage unspecified	Anal cancer
AIDS-related dementia	HIV-associated neurocognitive disorder
AION	Optic ischaemic neuropathy
ALA dehydratase deficient porphyria	Porphyria acute
ALAD porphyria	Porphyria acute
ALK gene mutation	Anaplastic lymphoma kinase gene mutation
ALK gene rearrangement assay	ALK gene rearrangement assay
ALK gene rearrangement positive	ALK gene rearrangement positive
ALK phosph	Blood alkaline phosphatase
ALK receptor tyrosine kinase assay	Anaplastic lymphoma receptor tyrosine kinase assay
ALK-NPM gene fusion assay	ALK gene rearrangement assay
ALK-NPM gene fusion overexpression	Anaplastic lymphoma kinase gene and nucleophosmin gene fusion overexpression
ALP increased	Blood alkaline phosphatase increased
ALPPS	Hepatectomy
ALPSA lesion	Anterior labroligamentous periosteal sleeve avulsion lesion
ALS	Amyotrophic lateral sclerosis
ALT decreased	Alanine aminotransferase decreased
ALT flare up	Alanine aminotransferase increased
ALT high	Alanine aminotransferase increased
ALT increased	Alanine aminotransferase increased
ALT low	Alanine aminotransferase decreased
ALT normal	Alanine aminotransferase normal
ALTE	Apparent life threatening event
AMA negative	Antimitochondrial antibody normal
AMA positive	Antimitochondrial antibody positive
AML1 gene mutation	RUNX1 gene mutation
ANA	Antinuclear antibody
ANA increased	Antinuclear antibody increased
ANA negative	Antinuclear antibody negative
ANA positive	Antinuclear antibody positive
ANA present	Antinuclear antibody positive
ANCA	Antineutrophil cytoplasmic antibody
ANCA decreased	Antineutrophil cytoplasmic antibody decreased
ANCA increased	Antineutrophil cytoplasmic antibody increased
ANCA negative	Antineutrophil cytoplasmic antibody negative
ANCA positive	Antineutrophil cytoplasmic antibody positive
ANNA-1	Anti-neuronal antibody
ANNA-2	Anti-neuronal antibody
ANP	Atrial natriuretic peptide
AOSD	Still's disease
AP 4 associated hereditary spastic paraplegia	Hereditary spastic paraplegia
AP 4 deficiency syndrome	Hereditary spastic paraplegia
APACHE II score	APACHE II score
APACHE II score increased	APACHE II score increased
APL differentiation syndrome	Differentiation syndrome
APMPPE	Retinal pigment epitheliopathy
APRI increased	AST to platelet ratio index increased
APTT	Activated partial thromboplastin time
APTT decreased	Activated partial thromboplastin time shortened
APTT increased	Activated partial thromboplastin time prolonged
APTT prolonged	Activated partial thromboplastin time prolonged
APUDoma	APUDoma
APUDoma NOS	APUDoma
ARC	AIDS related complex
ARDS	Acute respiratory distress syndrome
ARDS disease progression	Acute respiratory distress syndrome
ARIA	Amyloid related imaging abnormalities
ARIA-E	Amyloid related imaging abnormality-oedema/effusion
ARIA-H	Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits
ARIA-microhaemorrhages	Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits
ARIA-microhemorrhages	Amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits
ASA physical status classification	American Society of Anesthesiologists physical status classification
ASAH1 related disorder	ASAH1 related disorder
ASAT	Aspartate aminotransferase
ASC-H	Cervical dysplasia
ASC-US	Cervical dysplasia
ASCA	Anti-saccharomyces cerevisiae antibody
ASLO increased	Streptococcus test positive
ASO titre	Streptococcus test
ASPED	Multiple epiphyseal dysplasia
AST decreased	Aspartate aminotransferase decreased
AST flare up	Aspartate aminotransferase increased
AST high	Aspartate aminotransferase increased
AST increased	Aspartate aminotransferase increased
AST low	Aspartate aminotransferase decreased
AST to platelet ratio index	AST to platelet ratio index
AST to platelet ratio index increased	AST to platelet ratio index increased
AST/ALT ratio	AST/ALT ratio
AST/ALT ratio abnormal	AST/ALT ratio abnormal
ASXL1 gene mutation	ASXL1 gene mutation
AT-3 decreased	Antithrombin III decreased
ATLAS score for Clostridium difficile infection	ATLAS score for Clostridium difficile infection
ATP-binding cassette transporter A1 deficiency	Tangier disease
ATR 16 syndrome	Alpha-thalassaemia-intellectual deficit syndrome
ATRA syndrome	Differentiation syndrome
ATRX syndrome	Alpha-thalassaemia-intellectual deficit syndrome
ATTR amyloidosis wild type	Amyloidosis senile
AV block	Atrioventricular block
AV block (NOS)	Atrioventricular block
AV block complete	Atrioventricular block complete
AV block first degree	Atrioventricular block first degree
AV block second degree	Atrioventricular block second degree
AV block third degree	Atrioventricular block complete
AV dissociation	Atrioventricular dissociation
AV dual-paced rhythm	Pacemaker generated rhythm
AV fistula creation	Arteriovenous fistula operation
AV fistula excision	Arteriovenous fistula operation
AV fistula maturation failure	Arteriovenous fistula maturation failure
AV fistula revision	Arteriovenous fistula operation
AV nodal reentrant tachycardia	Supraventricular tachycardia
AV nodal tachycardia	Supraventricular tachycardia
AV reentrant tachycardia	Supraventricular tachycardia
AZOOR	Acute zonal occult outer retinopathy
Aarskog syndrome	Faciodigitogenital dysplasia
Aarskog-Scott syndrome	Faciodigitogenital dysplasia
Aase syndrome	Aase syndrome
Abasia	Gait inability
Abasic	Gait inability
Abdomen CT	Computerised tomogram abdomen
Abdomen crushing	Abdomen crushing
Abdomen enlarged	Abdominal distension
Abdomen enlarged feeling of	Abdominal distension
Abdomen mimicking acute	Acute abdomen
Abdomen scan	Abdomen scan
Abdomen scan normal	Abdomen scan normal
Abdominal CAT	Computerised tomogram abdomen
Abdominal CAT abnormal	Computerised tomogram abdomen abnormal
Abdominal CAT normal	Computerised tomogram abdomen normal
Abdominal X-ray	Abdominal X-ray
Abdominal X-ray NOS	Abdominal X-ray
Abdominal abscess	Abdominal abscess
Abdominal abscess NOS	Abdominal abscess
Abdominal actinomycotic infection	Actinomycotic abdominal infection
Abdominal adhesions	Abdominal adhesions
Abdominal aneurysm	Aortic aneurysm
Abdominal aneurysm without mention of rupture	Aortic aneurysm
Abdominal aneurysm, ruptured	Aortic aneurysm rupture
Abdominal aortic aneurysm	Aortic aneurysm
Abdominal aortic aneurysm enlargement	Aortic aneurysm
Abdominal aortic aneurysm haemorrhage	Aortic aneurysm rupture
Abdominal aortic aneurysm hemorrhage	Aortic aneurysm rupture
Abdominal aortic bruit	Aortic bruit
Abdominal aortic restenosis	Aortic restenosis
Abdominal aortic rupture	Aortic rupture
Abdominal aortic stenosis	Aortic stenosis
Abdominal aortic thrombus	Aortic thrombosis
Abdominal apoplexy	Haemoperitoneum
Abdominal bloating	Abdominal distension
Abdominal bruit	Abdominal bruit
Abdominal catastrophe	Acute abdomen
Abdominal cavity drainage	Abdominal cavity drainage
Abdominal cocoon	Encapsulating peritoneal sclerosis
Abdominal colic	Abdominal pain
Abdominal compartment syndrome	Abdominal compartment syndrome
Abdominal cramp	Abdominal pain
Abdominal cramps	Abdominal pain
Abdominal crampy pains	Abdominal pain
Abdominal diastasis	Diastasis recti abdominis
Abdominal discomfort	Abdominal discomfort
Abdominal disorder	Gastrointestinal disorder
Abdominal distension	Abdominal distension
Abdominal distension gaseous	Abdominal distension
Abdominal distress	Abdominal discomfort
Abdominal exploration	Abdominal exploration
Abdominal fat apron	Abdominal fat apron
Abdominal fibromatosis	Desmoid tumour
Abdominal flaccidity	Hypotonia
Abdominal fullness	Abdominal distension
Abdominal guarding	Abdominal rigidity
Abdominal haematoma	Intra-abdominal haematoma
Abdominal hematoma	Intra-abdominal haematoma
Abdominal hernia	Abdominal hernia
Abdominal hernia NOS	Abdominal hernia
Abdominal hernia NOS gangrenous	Abdominal hernia gangrenous
Abdominal hernia NOS, obstructive	Abdominal hernia obstructive
Abdominal hernia acquired	Abdominal hernia
Abdominal hernia gangrenous	Abdominal hernia gangrenous
Abdominal hernia infection	Abdominal hernia infection
Abdominal hernia obstructive	Abdominal hernia obstructive
Abdominal hernia of specified site	Abdominal hernia
Abdominal hernia perforation	Abdominal hernia perforation
Abdominal hernia repair	Abdominal hernia repair
Abdominal herniation	Abdominal hernia
Abdominal herniorrhaphy	Abdominal hernia repair
Abdominal hysterectomy	Hysterectomy
Abdominal incarcerated hernia	Abdominal incarcerated hernia
Abdominal infection	Abdominal infection
Abdominal injury	Abdominal injury
Abdominal injury NOS	Abdominal injury
Abdominal lymphadenopathy	Abdominal lymphadenopathy
Abdominal mass	Abdominal mass
Abdominal mass NOS	Abdominal mass
Abdominal migraine	Abdominal migraine
Abdominal neoplasm	Abdominal neoplasm
Abdominal neoplasm NOS	Abdominal neoplasm
Abdominal noises	Gastrointestinal sounds abnormal
Abdominal obesity	Central obesity
Abdominal operation	Abdominal operation
Abdominal operation NOS	Abdominal operation
Abdominal pain	Abdominal pain
Abdominal pain NOS	Abdominal pain
Abdominal pain aggravated	Abdominal pain
Abdominal pain generalised	Abdominal pain
Abdominal pain generalized	Abdominal pain
Abdominal pain localised	Abdominal pain
Abdominal pain localized	Abdominal pain
Abdominal pain lower	Abdominal pain lower
Abdominal pain peptic ulcer type	Abdominal pain upper
Abdominal pain upper	Abdominal pain upper
Abdominal panniculectomy	Abdominal panniculectomy
Abdominal phlegmon	Abdominal abscess
Abdominal pregnancy	Ectopic pregnancy
Abdominal rebound	Abdominal rebound tenderness
Abdominal rebound tenderness	Abdominal rebound tenderness
Abdominal rigidity	Abdominal rigidity
Abdominal scan NOS	Abdomen scan
Abdominal scan NOS abnormal	Scan abdomen abnormal
Abdominal scan NOS normal	Abdomen scan normal
Abdominal sepsis	Abdominal sepsis
Abdominal seroma	Seroma
Abdominal sinus repair	Abdominal sinus repair
Abdominal soft tissue necrosis	Soft tissue necrosis
Abdominal spasm	Abdominal rigidity
Abdominal strangulated hernia	Abdominal strangulated hernia
Abdominal symptom	Abdominal symptom
Abdominal symptom NOS	Abdominal symptom
Abdominal syndrome acute	Acute abdomen
Abdominal tenderness	Abdominal tenderness
Abdominal transposition	Abdominal transposition
Abdominal tuberculosis	Tuberculosis gastrointestinal
Abdominal tumor	Abdominal neoplasm
Abdominal tumour	Abdominal neoplasm
Abdominal wall abscess	Abdominal wall abscess
Abdominal wall abscess drainage	Abscess drainage
Abdominal wall anomaly	Abdominal wall anomaly
Abdominal wall biopsy	Biopsy abdominal wall
Abdominal wall biopsy abnormal	Biopsy abdominal wall abnormal
Abdominal wall biopsy normal	Biopsy abdominal wall normal
Abdominal wall bleeding	Abdominal wall haemorrhage
Abdominal wall closure	Abdominal wall operation
Abdominal wall cyst	Abdominal wall cyst
Abdominal wall disorder	Abdominal wall disorder
Abdominal wall edema	Abdominal wall oedema
Abdominal wall haematoma	Abdominal wall haematoma
Abdominal wall haemorrhage	Abdominal wall haemorrhage
Abdominal wall hematoma	Abdominal wall haematoma
Abdominal wall hemorrhage	Abdominal wall haemorrhage
Abdominal wall infection	Abdominal wall infection
Abdominal wall mass	Abdominal wall mass
Abdominal wall neoplasm	Abdominal wall neoplasm
Abdominal wall neoplasm NOS	Abdominal wall neoplasm
Abdominal wall neoplasm benign	Abdominal wall neoplasm benign
Abdominal wall neoplasm malignant	Abdominal wall neoplasm malignant
Abdominal wall oedema	Abdominal wall oedema
Abdominal wall operation	Abdominal wall operation
Abdominal wall operation NOS	Abdominal wall operation
Abdominal wall phlegmon	Cellulitis
Abdominal wall repair	Abdominal wall operation
Abdominal wall strained	Muscle strain
Abdominal wall wound	Abdominal wall wound
Abdominal wind	Flatulence
Abdominal wound dehiscence	Abdominal wound dehiscence
Abdomino-perineal resection of rectum	Proctectomy
Abdominocentesis	Abdominal cavity drainage
Abdominopelvic amputation	Hemipelvectomy
Abdominoperineal resection	Proctectomy
Abdominoplasty	Abdominoplasty
Abducens nerve disorder	VIth nerve disorder
Abducent nerve operation	Abducent nerve operation
Abducent nerve paralysis	VIth nerve paralysis
Aberrant aortic arch	Aberrant aortic arch
Aberrant motor behavior	Aberrant motor behaviour
Aberrant motor behaviour	Aberrant motor behaviour
Aberrant right subclavian artery	Aberrant aortic arch
Abetalipoproteinaemia	Abetalipoproteinaemia
Abetalipoproteinemia	Abetalipoproteinaemia
Ablepharon macrostomia syndrome	Ablepharon macrostomia syndrome
Ablutomania	Compulsive handwashing
Abnormal DNA methylation	Abnormal DNA methylation
Abnormal ECG	Electrocardiogram abnormal
Abnormal EEG	Electroencephalogram abnormal
Abnormal EMG	Electromyogram abnormal
Abnormal LE test	LE cells present
Abnormal LFTs	Liver function test abnormal
Abnormal arterial blood gases	Blood gases abnormal
Abnormal atrial relaxation	Diastolic dysfunction
Abnormal auditory perception, unspecified	Auditory disorder
Abnormal behavior	Abnormal behaviour
Abnormal behaviour	Abnormal behaviour
Abnormal behaviour NOS	Abnormal behaviour
Abnormal bowel sounds	Gastrointestinal sounds abnormal
Abnormal breathing	Respiration abnormal
Abnormal cervical cytology	Smear cervix abnormal
Abnormal chest sound	Breath sounds abnormal
Abnormal chest sounds	Breath sounds abnormal
Abnormal chest sounds NOS	Breath sounds abnormal
Abnormal clotting factor	Abnormal clotting factor
Abnormal coagulation profile	Coagulation test abnormal
Abnormal complement fixation	Complement fixation abnormal
Abnormal cord insertion	Abnormal cord insertion
Abnormal defibrillator impedance	Device electrical impedance issue
Abnormal dreams	Abnormal dreams
Abnormal ejaculation	Ejaculation disorder
Abnormal electroencephalogram	Electroencephalogram abnormal
Abnormal eye movements NOS	Eye movement disorder
Abnormal faeces	Abnormal faeces
Abnormal feces	Abnormal faeces
Abnormal first heart sound	Heart sounds abnormal
Abnormal gait	Gait disturbance
Abnormal glucose tolerance	Glucose tolerance impaired
Abnormal glucose tolerance in pregnancy	Glucose tolerance impaired in pregnancy
Abnormal glucose tolerance of mother, antepartum	Glucose tolerance impaired in pregnancy
Abnormal glucose tolerance of mother, postpartum	Glucose tolerance impaired in pregnancy
Abnormal glucose tolerance test	Glucose tolerance test abnormal
Abnormal glucose tolerance test (excl DM)	Glucose tolerance test abnormal
Abnormal hair growth	Hair growth abnormal
Abnormal hard tissue formation in pulp	Dental pulp disorder
Abnormal innervation syndrome of eyelid	Neurological eyelid disorder
Abnormal involuntary movement scale	Abnormal involuntary movement scale
Abnormal involuntary movements	Dyskinesia
Abnormal labor	Abnormal labour
Abnormal labor affecting fetus	Abnormal labour affecting foetus
Abnormal labour	Abnormal labour
Abnormal labour affecting foetus	Abnormal labour affecting foetus
Abnormal lipid profile	Lipids abnormal
Abnormal liquid product viscosity	Liquid product physical issue
Abnormal liver function tests	Liver function test abnormal
Abnormal loss of weight	Abnormal loss of weight
Abnormal organ growth	Abnormal organ growth
Abnormal organ maturation	Abnormal organ maturation
Abnormal orgasm (female)	Female orgasmic disorder
Abnormal orgasm (male)	Male orgasmic disorder
Abnormal pacing impedance	Device electrical impedance issue
Abnormal palmar/plantar creases	Abnormal palmar/plantar creases
Abnormal physical sensation	Sensory disturbance
Abnormal pigment	Pigmentation disorder
Abnormal pigmentation	Pigmentation disorder
Abnormal platelet function	Platelet function test abnormal
Abnormal platelets	Platelet disorder
Abnormal precordial movement	Abnormal precordial movement
Abnormal product of conception	Abnormal product of conception
Abnormal product of conception NOS	Abnormal product of conception
Abnormal reflex	Reflexes abnormal
Abnormal retinal correspondence	Visual impairment
Abnormal scarring	Scar
Abnormal sensation in ear	Ear discomfort
Abnormal sensation in eye	Abnormal sensation in eye
Abnormal sensation of limbs	Sensory disturbance
Abnormal single palmar crease	Abnormal palmar/plantar creases
Abnormal sleep-related event	Abnormal sleep-related event
Abnormal sleep-related event NOS	Abnormal sleep-related event
Abnormal spermatozoa	Spermatozoa abnormal
Abnormal sputum	Sputum abnormal
Abnormal stools	Abnormal faeces
Abnormal thinking	Thinking abnormal
Abnormal thymol turbidity test	Thymol turbidity test abnormal
Abnormal touch sensation	Paraesthesia
Abnormal uterine bleeding	Abnormal uterine bleeding
Abnormal vertebral facets	Vertebral lesion
Abnormal vision	Visual impairment
Abnormal vision NOS	Visual impairment
Abnormal weight gain	Abnormal weight gain
Abnormal withdrawal bleeding	Abnormal withdrawal bleeding
Abnormal withdrawal haemorrhage	Abnormal withdrawal bleeding
Abnormal withdrawal hemorrhage	Abnormal withdrawal bleeding
Abnormal words or word usage NOS	Speech disorder
Abnormality of accommodation	Accommodation disorder
Abnormality of forces of labor	Abnormal labour
Abnormality of forces of labour	Abnormal labour
Abnormality of gait	Gait disturbance
Abnormality of red blood cells	Red blood cell abnormality
Abnormality of secretion of gastrin	Gastrin secretion disorder
Abnormality of secretion of glucagon	Glucagon secretion disorder
Aborted pregnancy	Aborted pregnancy
Abortion	Abortion
Abortion NOS	Abortion
Abortion complete	Abortion complete
Abortion complete NOS	Abortion complete
Abortion complete complicated	Abortion complete complicated
Abortion complicated	Abortion complicated
Abortion complicated NOS	Abortion complicated
Abortion early	Abortion early
